"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Laptop\mvd\app\actions\createUser.ts", "TypeScript", 0, 72, 0, 0, 12, 84
"c:\Users\Laptop\mvd\app\api\create-user\route.ts", "TypeScript", 0, 25, 0, 1, 5, 31
"c:\Users\Laptop\mvd\app\api\db_check\route.ts", "TypeScript", 0, 14, 0, 0, 2, 16
"c:\Users\Laptop\mvd\app\api\performance\route.ts", "TypeScript", 0, 154, 0, 0, 28, 182
"c:\Users\Laptop\mvd\app\globals.css", "PostCSS", 0, 0, 225, 18, 48, 291
"c:\Users\Laptop\mvd\app\layout.tsx", "TypeScript JSX", 94, 0, 0, 5, 23, 122
"c:\Users\Laptop\mvd\app\menu\page.tsx", "TypeScript JSX", 37, 0, 0, 1, 1, 39
"c:\Users\Laptop\mvd\components\DesktopControlButton.tsx", "TypeScript JSX", -64, 0, 0, -7, -11, -82
"c:\Users\Laptop\mvd\components\DesktopLayout.tsx", "TypeScript JSX", -21, 0, 0, -13, -6, -40
"c:\Users\Laptop\mvd\components\DesktopSidebar.tsx", "TypeScript JSX", -9, 0, 0, -1, -3, -13
"c:\Users\Laptop\mvd\components\ExpertMedia.tsx", "TypeScript JSX", -24, 0, 0, 0, -2, -26
"c:\Users\Laptop\mvd\components\MasterView.tsx", "TypeScript JSX", -216, 0, 0, -18, -40, -274
"c:\Users\Laptop\mvd\components\MobileLayout.tsx", "TypeScript JSX", -58, 0, 0, -2, -11, -71
"c:\Users\Laptop\mvd\components\MobileMasterViewMenu.tsx", "TypeScript JSX", -23, 0, 0, 0, -3, -26
"c:\Users\Laptop\mvd\components\MobileScenariosPlayerFooter.tsx", "TypeScript JSX", -70, 0, 0, -1, -8, -79
"c:\Users\Laptop\mvd\components\ModuleTile.tsx", "TypeScript JSX", -28, 0, 0, -1, -6, -35
"c:\Users\Laptop\mvd\components\OfflineBlock.tsx", "TypeScript JSX", -24, 0, 0, -1, -1, -26
"c:\Users\Laptop\mvd\components\OnboardingDesktop.tsx", "TypeScript JSX", -290, 0, 0, -16, -40, -346
"c:\Users\Laptop\mvd\components\OnboardingMobile.tsx", "TypeScript JSX", -298, 0, 0, -16, -47, -361
"c:\Users\Laptop\mvd\components\PWAInstallPrompt.tsx", "TypeScript JSX", -73, 0, 0, -1, -9, -83
"c:\Users\Laptop\mvd\components\RankingBox.tsx", "TypeScript JSX", -41, 0, 0, -11, -10, -62
"c:\Users\Laptop\mvd\components\ScenarioCard.tsx", "TypeScript JSX", -206, 0, 0, -12, -45, -263
"c:\Users\Laptop\mvd\components\ScenarioPlayer.tsx", "TypeScript JSX", -127, 0, 0, -13, -21, -161
"c:\Users\Laptop\mvd\components\SplashScreen.tsx", "TypeScript JSX", -169, 0, 0, -4, -35, -208
"c:\Users\Laptop\mvd\components\VerticalProgressBar.tsx", "TypeScript JSX", -26, 0, 0, 0, -6, -32
"Total", "-", -1636, 265, 225, -92, -185, -1423
